source_file,sub,ses,phase,run,sfreq,n_samples,duration_s,n_triggers,scan_start_s,scan_dur_s,gaze_valid_pct,pupil_valid_pct,gaze_viable,pupil_viable,decision,channels,note
sub-05/ses-22/eyetracking/s5s4r2m_2025_07_22_10_35.EDF,sub-05,ses-22,encoding,2,500,567451,1134.9,723,51.8,1083.0,81.0,85.2,True,True,include,gaze+pupil,
sub-05/ses-23/eyetracking/s5s5r1m_2025_07_24_10_10.EDF,sub-05,ses-23,encoding,1,1000,1140025,1140.0,729,47.3,1092.0,1.4,92.3,False,True,include,pupil_only,
sub-05/ses-23/eyetracking/s5s5r1r_2025_07_24_11_05.EDF,sub-05,ses-23,retrieval,1,1000,1630423,1630.4,1059,43.0,1587.0,6.2,64.9,False,True,include,pupil_only,
sub-05/ses-23/eyetracking/s5s5r2m_2025_07_24_10_33.EDF,sub-05,ses-23,encoding,2,1000,1220462,1220.5,784,45.2,1174.5,1.5,86.4,False,True,include,pupil_only,
sub-05/ses-24/eyetracking/s5s6r1m_2025_08_12_10_11.EDF,sub-05,ses-24,encoding,1,1000,948769,948.8,607,39.4,909.0,32.7,84.4,False,True,include,pupil_only,
sub-05/ses-24/eyetracking/s5s6r1r_2025_08_12_11_13.EDF,sub-05,ses-24,retrieval,1,1000,1865369,1865.4,1220,37.0,1828.3,0.1,1.1,False,False,exclude,,
sub-05/ses-24/eyetracking/s5s6r2m_2025_08_12_10_29.EDF,sub-05,ses-24,encoding,2,1000,1190283,1190.3,765,44.4,1145.9,31.0,83.5,False,True,include,pupil_only,
sub-05/ses-25/eyetracking/s5s7r1m_2025_08_14_10_19.EDF,sub-05,ses-25,encoding,1,1000,1221847,1221.8,790,38.0,1183.5,12.2,85.9,False,True,include,pupil_only,
sub-05/ses-25/eyetracking/s5s7r1r_2025_08_14_11_10.EDF,sub-05,ses-25,retrieval,1,1000,1408833,1408.8,913,39.9,1368.0,13.1,65.0,False,True,include,pupil_only,
sub-05/ses-25/eyetracking/s5s7r2m_2025_08_14_10_40.EDF,sub-05,ses-25,encoding,2,1000,1159822,1159.8,751,34.7,1125.0,9.6,86.4,False,True,include,pupil_only,
sub-05/ses-26/eyetracking/s5s8r1m_2025_08_19_10_14.EDF,sub-05,ses-26,encoding,1,1000,1019086,1019.1,646,51.0,967.5,2.6,91.9,False,True,include,pupil_only,
sub-05/ses-26/eyetracking/s5s8r1r_2025_08_19_11_02.EDF,sub-05,ses-26,retrieval,1,1000,2039392,2039.4,1330,45.4,1993.4,15.2,73.9,False,True,include,pupil_only,
sub-05/ses-26/eyetracking/s5s8r2m_2025_08_19_10_32.EDF,sub-05,ses-26,encoding,2,1000,1126152,1126.2,728,35.5,1090.5,1.8,90.3,False,True,include,pupil_only,
sub-05/ses-27/eyetracking/s5s9r1m_2025_08_21_10_12.EDF,sub-05,ses-27,encoding,1,1000,1125296,1125.3,719,48.8,1076.5,16.4,86.0,False,True,include,pupil_only,
sub-05/ses-27/eyetracking/s5s9r1r_2025_08_21_11_02.EDF,sub-05,ses-27,retrieval,1,1000,1639600,1639.6,1070,36.3,1603.3,5.5,63.1,False,True,include,pupil_only,
sub-05/ses-27/eyetracking/s5s9r2m_2025_08_21_10_31.EDF,sub-05,ses-27,encoding,2,1000,1083957,1084.0,698,37.9,1045.5,0.1,89.7,False,True,include,pupil_only,
sub-05/ses-28/eyetracking/s5s10r1m_2025_08_26_10_10.EDF,sub-05,ses-28,encoding,1,1000,803144,803.1,510,40.1,763.0,17.1,89.5,False,True,include,pupil_only,
sub-05/ses-28/eyetracking/s5s10r1r_2025_08_26_10_51.EDF,sub-05,ses-28,retrieval,1,1000,1518506,1518.5,992,31.8,1486.5,11.9,54.8,False,False,exclude,,
sub-05/ses-28/eyetracking/s5s10r2m_2025_08_26_10_25.EDF,sub-05,ses-28,encoding,2,1000,951335,951.3,606,43.5,907.5,18.0,88.9,False,True,include,pupil_only,
